RM,Oats_mean,Oats_std,Clusters_4,Clusters_6
400,92.31550000000001,19.952630343680976,0,1
401,90.457,18.614815859247283,0,1
402,83.227,21.74810096972776,2,4
403,92.99100000000001,21.437503512352027,0,1
404,96.25857142857144,23.1576486308496,0,1
405,64.365,21.536589795044154,1,2
406,71.146,20.662992446451344,2,2
409,81.053,23.626950958152587,2,4
410,73.8776923076923,27.466271483963187,2,4
411,71.97222222222224,17.87536903956541,2,2
42,47.361428571428576,14.76008591654318,3,0
426,93.3765,25.457559165878617,0,1
427,108.60350000000001,23.89964529025483,0,3
428,103.58900000000001,18.370881106565875,0,3
429,99.12449999999998,19.786902758882544,0,1
43,42.79899999999999,14.909324140140942,3,0
430,94.24449999999999,22.30793686348568,0,1
431,92.97999999999999,25.062679530791552,0,1
434,89.75631578947367,28.77851227923097,0,1
435,73.088,22.499231004402656,2,4
436,82.186,25.7509097233272,2,4
437,82.570625,27.251958087141798,2,4
438,74.7,25.898742140197548,2,4
439,71.958,27.974012463951848,2,4
44,36.906111111111116,20.340623259260358,3,0
440,78.34375,15.004688100723717,2,4
442,77.7145,17.580468970153397,2,4
45,43.91214285714285,16.944685655922388,3,0
456,92.63399999999999,19.258539158677525,0,1
457,96.37499999999999,17.671246493430473,0,1
458,97.94399999999999,23.515670340837573,0,1
459,97.22149999999998,20.61521519731431,0,1
46,37.07,21.477703477482567,3,0
460,93.91526315789473,21.557613599226777,0,1
461,85.676,20.87982541770128,2,4
463,82.8,23.869246601711865,2,4
464,97.48526315789472,26.187831858076766,0,1
466,81.18400000000001,17.654224304383177,2,4
467,80.732,23.356870194081186,2,4
468,86.43299999999999,24.458912937930474,2,1
469,80.82,36.50713172335875,2,4
470,79.86428571428573,14.23663567132682,2,4
471,87.8885,27.28378239618006,0,1
472,93.80388888888889,18.273971569642555,0,1
486,97.482,20.291731943408823,0,1
487,97.76099999999998,15.493453252396973,0,1
488,99.15,16.06515713226019,0,1
49,58.12833333333334,31.606756997180014,1,5
490,93.72999999999999,29.332862685618213,0,1
491,92.86058823529412,13.368160153228004,0,1
493,100.26333333333335,23.406433504738924,0,3
494,92.72099999999999,21.26887171926444,0,1
496,101.92699999999999,23.114634257156336,0,3
497,92.34894736842107,25.679363503434438,0,1
498,91.126,30.377946190235477,0,1
499,84.9035,27.466622284817657,2,4
5,53.709999999999994,16.4673717797751,3,5
501,82.60894736842106,25.106016298607884,2,4
502,96.20631578947369,23.66202987688792,0,1
51,51.840769230769226,13.735681309117544,3,5
520,92.89470588235294,25.01106433102335,0,1
555,79.88142857142859,19.551411854249952,2,4
561,79.14647058823529,16.29382511151712,2,4
588,80.1745,17.30954573121585,2,4
6,58.193636363636365,26.06543775681785,1,5
61,75.5185,18.73611353144397,2,4
622,81.4805,22.614488479966255,2,4
63,75.63250000000001,26.76870479830781,2,4
64,67.1465,20.017357277333616,1,2
65,53.751,15.917625087338019,3,5
66,63.46785714285715,21.73408884981996,1,2
67,61.1395,19.264454989763703,1,5
68,39.01583333333334,18.09814428374223,3,0
69,38.993500000000004,13.779502425895616,3,0
7,54.541,21.929060602061572,1,5
70,43.008571428571436,13.243747934050214,3,0
71,45.59000000000001,16.637079995276533,3,0
72,59.977999999999994,24.778026914542206,1,5
73,48.27461538461539,20.71075510267738,3,0
74,49.71142857142858,22.104705704571465,3,5
75,49.675,20.66290535947781,3,5
76,38.448,17.13975337378825,3,0
77,45.55733333333333,17.149948549138426,3,0
78,55.30833333333334,20.28310798908712,1,5
79,54.87250000000001,9.957863156137648,3,5
8,49.667058823529416,21.440684680271374,3,5
9,47.651875,15.663108767099843,3,0
91,71.14900000000002,17.45519645142657,2,2
92,70.02578947368421,11.004139279677883,1,2
93,70.1105,17.995022842587982,2,2
94,63.48699999999999,15.315862468626921,1,2
95,65.56649999999999,11.874668427503904,1,2
96,59.72210526315789,16.80645860605955,1,5
97,59.77749999999999,21.720367321455395,1,5
98,75.25687500000001,33.21249116798277,2,4
99,48.595000000000006,18.19589624063624,3,0
ALEXANDER,81.70661168666668,25.267048892959057,2,4
ALONSA,66.52552796875,19.09689544880813,1,2
ARGYLE,98.11367300499998,22.781129482401408,0,1
ARMSTRONG,60.266586374999996,25.213126349730093,1,5
BROKENHEAD,93.62536379999999,25.93574188779832,0,1
CARTIER,108.74031839473683,28.862698766320555,0,3
COLDWELL,68.991888,32.73705558466846,2,4
DAUPHIN,76.3905509117647,18.924541732499083,2,4
DUFFERIN,108.05216845000002,26.53247719549541,0,3
ELLICE-ARCHIE,78.77279178947369,18.48410290767447,2,4
ELTON,96.50050611111112,21.463624405454365,0,1
FISHER,81.65258869444445,27.2499421415963,2,4
GIMLI,82.99776,1.7423082804165195,2,4
GRAHAMDALE,47.853396,20.970615234527383,3,0
GREY,101.58282807499998,24.7372773862404,0,3
HANOVER,88.82543475,22.917044518881912,0,1
HEADINGLEY,103.37340494117646,36.78955942622697,0,3
LAC DU BONNET,94.21627918421052,31.103632661080173,0,1
LAKESHORE,69.51350586666668,18.91849517960787,2,2
MACDONALD,107.88798736842105,34.74111058521612,0,3
MINTO-ODANAH,106.14275166666665,20.907723680688566,0,3
MONTCALM,116.6680492,28.40227602610029,0,3
MORRIS,111.87433417499999,32.067803573837296,0,3
MOUNTAIN,70.33573845,23.93923997292092,2,2
OAKVIEW,97.82766575,17.926690070741817,0,1
PINEY,88.84164524999998,22.731555577800812,0,1
PIPESTONE,73.34233116842104,19.803722975756216,2,2
PORTAGE LA PRAIRIE,106.97366458678569,23.171370729038724,0,3
PRAIRIE LAKES,93.94541310499999,20.915341521388665,0,1
REYNOLDS,100.3624476,34.21088131199392,0,3
RIDING MOUNTAIN WEST,97.18275802499998,17.24014948445192,0,1
RITCHOT,109.79749895,32.862022529566765,0,3
ROCKWOOD,89.69312878,24.874002152856303,0,1
ROLAND,113.71864826315792,29.957606126961164,0,3
ROSEDALE,87.3583845,25.07988882842299,0,1
ROSSER,98.50823657500001,32.126479502263265,0,3
SIFTON,64.73974915384615,16.75995249137244,1,2
SPRINGFIELD,99.86370455,33.46722192351898,0,3
ST. ANDREWS,92.7186565,29.241865365424093,0,1
ST. CLEMENTS,94.63906039999998,26.324818678843254,0,1
STANLEY,106.99116120555556,27.41618027473836,0,3
STE. ANNE,92.86900094117648,29.282813660576142,0,1
STUARTBURN,62.03938466666667,23.769436367007955,1,5
TACHE,102.3984864,29.50760134485536,0,3
THOMPSON,111.29561932499999,26.050380035725908,0,3
VICTORIA,105.80503291666666,10.233487442136873,0,3
WALLACE-WOODWORTH,83.47633946315791,16.838905707072406,2,4
WEST INTERLAKE,66.3203976,25.193073867237697,1,2
WEST ST. PAUL,83.36133835714284,31.606908306075233,2,4
WHITEHEAD,73.70079263636363,20.250533146400628,2,4
WHITEMOUTH,107.84845649999997,21.34537212329489,0,3
WOODLANDS,90.58286909,29.946719528639516,0,1
YELLOWHEAD,108.36232935000001,15.392974693965837,0,3
